Starting live trading engine...
Starting live trading engine...
Starting live trading engine...
Starting live trading engine...
Starting live trading engine...
[2025-11-22T16:23:47.028789+00:00] Status: success | New trades: 1 | Total: 1
[2025-11-22T16:23:47.090316+00:00] Status: success | New trades: 1 | Total: 1
[2025-11-22T16:23:48.037486+00:00] Status: success | New trades: 0 | Total: 1
[2025-11-22T16:23:48.100934+00:00] Status: success | New trades: 0 | Total: 1
[2025-11-22T16:23:49.044744+00:00] Status: success | New trades: 0 | Total: 1
[2025-11-22T16:23:49.110705+00:00] Status: success | New trades: 0 | Total: 1
[2025-11-22T16:23:50.054547+00:00] Status: success | New trades: 0 | Total: 1
[2025-11-22T16:23:50.115872+00:00] Status: success | New trades: 0 | Total: 1
[2025-11-22T16:23:51.070167+00:00] Status: success | New trades: 0 | Total: 1
[2025-11-22T16:23:51.118283+00:00] Status: success | New trades: 0 | Total: 1
[2025-11-22T16:23:52.086610+00:00] Status: success | New trades: 12 | Total: 13
[2025-11-22T16:23:52.140616+00:00] Status: success | New trades: 12 | Total: 13
[2025-11-22T16:23:53.094772+00:00] Status: success | New trades: 0 | Total: 13
[2025-11-22T16:23:53.148661+00:00] Status: success | New trades: 0 | Total: 13
[2025-11-22T16:23:54.098996+00:00] Status: success | New trades: 0 | Total: 13
[2025-11-22T16:23:54.162957+00:00] Status: success | New trades: 0 | Total: 13
[2025-11-22T16:23:55.108726+00:00] Status: success | New trades: 0 | Total: 13
[2025-11-22T16:23:55.172584+00:00] Status: success | New trades: 0 | Total: 13
[2025-11-22T16:23:56.116095+00:00] Status: success | New trades: 0 | Total: 13
[2025-11-22T16:23:56.181537+00:00] Status: success | New trades: 0 | Total: 13
[2025-11-22T16:23:57.140715+00:00] Status: success | New trades: 10 | Total: 23
[2025-11-22T16:23:57.197381+00:00] Status: success | New trades: 10 | Total: 23
[2025-11-22T16:23:58.148848+00:00] Status: success | New trades: 0 | Total: 23
[2025-11-22T16:23:58.203798+00:00] Status: success | New trades: 0 | Total: 23
[2025-11-22T16:23:59.154960+00:00] Status: success | New trades: 0 | Total: 23
[2025-11-22T16:23:59.210217+00:00] Status: success | New trades: 0 | Total: 23
[2025-11-22T16:24:00.160876+00:00] Status: success | New trades: 0 | Total: 23
[2025-11-22T16:24:00.216159+00:00] Status: success | New trades: 0 | Total: 23
[2025-11-22T16:24:01.169634+00:00] Status: success | New trades: 0 | Total: 23
[2025-11-22T16:24:01.219844+00:00] Status: success | New trades: 0 | Total: 23
[2025-11-22T16:24:02.191511+00:00] Status: success | New trades: 13 | Total: 36
[2025-11-22T16:24:02.234204+00:00] Status: success | New trades: 13 | Total: 36
[2025-11-22T16:24:03.200149+00:00] Status: success | New trades: 0 | Total: 36
[2025-11-22T16:24:03.244039+00:00] Status: success | New trades: 0 | Total: 36
[2025-11-22T16:24:04.201824+00:00] Status: success | New trades: 0 | Total: 36
[2025-11-22T16:24:04.248555+00:00] Status: success | New trades: 0 | Total: 36
[2025-11-22T16:24:05.211731+00:00] Status: success | New trades: 0 | Total: 36
[2025-11-22T16:24:05.250954+00:00] Status: success | New trades: 0 | Total: 36
[2025-11-22T16:24:06.217345+00:00] Status: success | New trades: 0 | Total: 36
[2025-11-22T16:24:06.256955+00:00] Status: success | New trades: 0 | Total: 36
[2025-11-22T16:24:07.231517+00:00] Status: success | New trades: 3 | Total: 39
[2025-11-22T16:24:07.270607+00:00] Status: success | New trades: 3 | Total: 39
[2025-11-22T16:24:08.235982+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:08.277564+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:09.240658+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:09.284991+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:10.248096+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:10.290850+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:11.251538+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:11.294227+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:12.269611+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:12.308596+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:13.276006+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:13.312456+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:14.285599+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:14.320892+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:15.290487+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:15.327465+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:16.299516+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:16.337533+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:17.320332+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:17.349371+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:18.325478+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:18.355750+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:19.331278+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:19.361411+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:20.338000+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:20.368480+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:21.344514+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:21.376353+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:22.362097+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:22.388051+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:23.371504+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:23.394185+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:24.378490+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:24.400418+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:25.386571+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:25.406254+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:26.391775+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:26.411140+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:27.410600+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:27.418844+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:28.419185+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:28.423562+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:29.425904+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:29.427999+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:30.431801+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:30.434845+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:31.435646+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:31.440412+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:32.449232+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:32.451233+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:33.457857+00:00] Status: success | New trades: 0 | Total: 39
Error in trading cycle: [Errno 2] No such file or directory: 'logs_live/live_trades.csv.tmp' -> 'logs_live/live_trades.csv'
[2025-11-22T16:24:34.463238+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:35.473198+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:36.479135+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:37.494346+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:38.477815+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:38.497063+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:39.486989+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:39.501364+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:40.497155+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:40.508295+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:41.503300+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:41.516776+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:42.509755+00:00] Status: success | New trades: 0 | Total: 39
[2025-11-22T16:24:42.538599+00:00] Status: success | New trades: 0 | Total: 39
